study_uid,status,reason,findings_bleu,findings_rouge_l,findings_meteor,impression_bleu,impression_rouge_l,impression_meteor
3082,completed,,3.8229746997386336,0.17647058823529413,0.15625000000000003,5.669791110976001,0.2,0.22222222222222224
529,completed,,1.2438555540747176,0.08955223880597016,0.12307692307692308,2.4092489848483227,0.17647058823529416,0.4746835443037975
793,completed,,4.8513485023756315,0.19417475728155337,0.13881715987536367,9.138402379955025,0.4444444444444444,0.15151515151515152
1799,completed,,2.9613343168730286,0.11538461538461539,0.40341430837298603,3.3864985683445354,0.0,0.07575757575757576
3804,completed,,0.23206509490826174,0.14492753623188404,0.06921897546897547,6.567274736060395,0.0,0.09615384615384616
1844,completed,,11.188294598960788,0.380952380952381,0.42066758116140834,8.116697886877475,0.0,0.11904761904761905
758,completed,,9.24272533424404,0.28571428571428575,0.5738636363636364,5.816635421147515,0.3333333333333333,0.5174180327868853
1491,completed,,7.850122823629247,0.32653061224489793,0.19674922600619196,13.545994273378144,0.4285714285714285,0.6578947368421052
3243,completed,,5.868369812016049,0.20689655172413796,0.25485586342009514,0.6144240547775459,0.0,0.03703703703703704
1545,completed,,3.511476270817333,0.28571428571428575,0.28977926561355793,46.30777161991026,0.75,0.600907029478458
2317,completed,,4.964293039762434,0.3870967741935484,0.3431847545219638,35.35533905932737,0.6666666666666666,0.6388888888888888
3594,completed,,19.269390012662,0.37499999999999994,0.7552420660621763,0.0,0.05405405405405405,0.08620689655172414
3829,completed,,3.0476199969370716,0.11320754716981132,0.16975308641975312,0.0,0.0,0.0
3439,completed,,3.646650581707163,0.3157894736842105,0.44887376438178583,8.29519350710986,0.3333333333333333,0.5437352245862884
121,completed,,2.019385597421733,0.18604651162790697,0.29018264840182645,0.0,0.0,0.0
3632,generation_failed,"POST /generate-report returned 422: {""detail"":{""message"":""LLM generation validation failed after exhausting the content retry budget. Last validation errors: [\""response is not valid JSON: Expecting ',' delimiter: line 8 column 125 (char 764)\""]"",""last_raw_response"":""{\n  \""examination\"": \""Chest X-ray\"",\n  \""clinical_history\"": \""Unknown\"",\n  \""technique\"": \""Posteroanterior (PA) view\"",\n  \""findings\"": \""The heart and mediastinum are unremarkable. The lungs are hyperexpanded. The lungs are clear without infiltrate or effusion",,,,,,
1178,completed,,2.4623373672221804,0.1935483870967742,0.19886363636363635,0.0,0.0,0.0
3665,completed,,1.2624279028277663,0.12121212121212122,0.07575757575757576,2.544354209531657,0.13333333333333333,0.07575757575757576
1776,completed,,2.7533378495905287,0.2,0.15089163237311387,27.534765745159184,0.5714285714285715,0.5215419501133786
2283,completed,,0.28168574013380593,0.12765957446808512,0.07042253521126761,2.4074859035470344,0.0909090909090909,0.136986301369863
3040,completed,,3.958429713493497,0.10169491525423728,0.14419369763018558,0.0,0.0,0.0
2726,completed,,4.329034362369369,0.15384615384615383,0.1728682170542636,4.885326644211927,0.2857142857142857,0.5441810344827587
