encoder,primary_label,mrr,recall@1,precision@1,ndcg@1,recall@3,precision@3,ndcg@3,recall@5,precision@5,ndcg@5,recall@10,precision@10,ndcg@10
clip_generic,Normal,0.686138769941587,0.48826291079812206,0.48826291079812206,0.48826291079812206,0.8873239436619719,0.4835680751173709,0.4843812057044924,0.9577464788732394,0.49483568075117373,0.4914778009312527,0.9953051643192489,0.46572769953051646,0.47271104205413184
clip_generic,Other Abnormality,0.37189714505465044,0.1875,0.1875,0.175,0.4875,0.19583333333333333,0.1804124004705278,0.65,0.17,0.1657591232223506,0.8125,0.15,0.15073807999390365
clip_generic,Pleural Effusion,0.2660304904207343,0.1111111111111111,0.1111111111111111,0.044444444444444446,0.3333333333333333,0.14814814814814814,0.051954489857377883,0.4444444444444444,0.15555555555555556,0.06144823116078865,0.5555555555555556,0.19999999999999998,0.08145447948137546
clip_generic,Pneumonia,0.2011904761904762,0.0,0.0,0.0,0.25,0.16666666666666666,0.04624925159226346,0.25,0.2,0.06637802203152991,0.5,0.175,0.062204950038466836
clip_generic,Pneumothorax,0.07122331691297208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.03333333333333333,0.009373730162344917
clip_generic,Scarring,0.2954384986993683,0.07692307692307693,0.07692307692307693,0.05128205128205128,0.46153846153846156,0.17948717948717946,0.08024544236693644,0.6153846153846154,0.16923076923076924,0.07562764199190809,0.7692307692307693,0.23076923076923078,0.10608266775228192
clip_generic,Support Devices,0.17821694898561546,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.18518518518518517,0.09876543209876543,0.052969339463735554,0.2222222222222222,0.07407407407407407,0.04638142802467912,0.4444444444444444,0.0851851851851852,0.05484201822204615
densenet121,Atelectasis,0.37129764298881945,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.4583333333333333,0.20833333333333334,0.12205185818556857,0.7083333333333334,0.225,0.12279443338412194,0.875,0.2041666666666667,0.12250211544176592
densenet121,Calcinosis/Atherosclerosis,0.35827540929405316,0.20689655172413793,0.20689655172413793,0.1724137931034483,0.3793103448275862,0.1839080459770115,0.15382391170683116,0.5172413793103449,0.16551724137931034,0.13876034990996525,0.7586206896551724,0.1517241379310345,0.12595558212284777
densenet121,Cardiomegaly,0.3955923539006245,0.19047619047619047,0.19047619047619047,0.1349206349206349,0.5714285714285714,0.23809523809523808,0.14812604817128033,0.6190476190476191,0.20952380952380953,0.13961557569262872,0.7619047619047619,0.18095238095238095,0.12583434199241084
densenet121,Degenerative/Bone,0.3679016667195101,0.1875,0.1875,0.09375,0.46875,0.21875,0.13361253317649072,0.59375,0.21250000000000002,0.13495095698486925,0.78125,0.203125,0.13373568340379785
densenet121,Edema/Congestion,0.3904137522036184,0.16666666666666666,0.16666666666666666,0.048611111111111105,0.6666666666666666,0.3333333333333333,0.13712531060427546,0.6666666666666666,0.35000000000000003,0.14493027573348302,0.75,0.2916666666666667,0.13185236333468042
