study_uid,status,reason,retrieved_uids,top1_similarity,findings_bleu,findings_rouge_l,findings_meteor,impression_bleu,impression_rouge_l,impression_meteor
3918,completed,,1364|2785|1142|398|1263,0.951562762260437,1.0651500715289706,0.14285714285714288,0.09375,3.5275023606301383,0.0,0.04761904761904762
3283,completed,,1872|2692|2910|2282|2276,0.9584362506866455,4.752558226721183,0.07407407407407407,0.1366120218579235,4.167251645138561,0.0,0.05208333333333333
3694,completed,,641|782|119|2632|940,0.9645400047302246,0.5596542066805187,0.07843137254901962,0.0911764705882353,8.116697886877475,0.0,0.09803921568627452
309,completed,,1970|3352|2735|203|1388,0.9824525117874146,4.941373395476229,0.16,0.1912878787878788,8.116697886877475,0.0,0.09803921568627452
3908,completed,,2549|6|516|3902|3356,0.970429539680481,0.5840608197394509,0.24000000000000002,0.10135135135135134,8.116697886877475,0.0,0.09803921568627452
3471,completed,,96|853|2377|658|49,0.9793184995651245,0.11939453726882288,0.09090909090909091,0.06779661016949154,4.167251645138561,0.0,0.05208333333333333
358,completed,,2316|3458|920|1667|1951,0.9729381799697876,3.75115461167884,0.15,0.1508150429983314,8.116697886877475,0.0,0.09803921568627452
3907,completed,,1277|1082|3129|3966|2832,0.9669898152351379,0.5236777636794289,0.11363636363636363,0.08968609865470853,2.159701133933343,0.05128205128205128,0.07425742574257424
3206,completed,,2377|2017|1146|1761|2924,0.9713349342346191,14.778153368968693,0.24999999999999994,0.2703030303030303,8.116697886877475,0.0,0.09803921568627452
1067,completed,,2015|1748|1594|2020|1412,0.9721163511276245,1.6535048048231806,0.1111111111111111,0.10309278350515463,5.815868174415823,0.0,0.06410256410256411
2655,completed,,2089|2321|2992|1708|1367,0.9799928665161133,1.6205321258828604,0.2,0.1750608500280846,9.652434877402245,0.3636363636363636,0.42592592592592593
2902,completed,,2022|2983|525|3603|2342,0.9675894379615784,3.0787460505623354,0.0967741935483871,0.1564797794117647,1.0885011049519644,0.0,0.06329113924050633
3189,completed,,1801|729|1547|1880|3179,0.9736356735229492,2.8164360556792567,0.21052631578947367,0.3052341597796143,1.0559717178170818,0.0,0.07042253521126761
1883,completed,,153|1277|2542|27|1250,0.976924479007721,2.3109724536928473,0.1714285714285714,0.14278105187196094,1.493369524819332,0.047619047619047616,0.1492537313432836
2371,completed,,629|735|1119|580|2079,0.9698781967163086,0.8004360924715377,0.1702127659574468,0.08426966292134833,2.9859662827819125,0.0,0.043859649122807015
3651,completed,,3935|2385|2293|892|2193,0.9560564756393433,1.309555337297345,0.1311475409836066,0.09740259740259742,3.21858262703621,0.16666666666666669,0.09933774834437087
470,completed,,1962|2484|782|3234|813,0.9600715041160583,3.3068299149074694,0.16666666666666666,0.22004416820344697,1.8884748972625875,0.10810810810810811,0.13793103448275865
3545,completed,,126|857|3054|1187|556,0.9639401435852051,0.6604915867964836,0.16901408450704222,0.09734513274336283,1.5467525225654875,0.07999999999999999,0.08250825082508251
3241,completed,,3880|2718|1416|2993|503,0.9619522094726562,1.1083171903964022,0.17142857142857143,0.09554140127388534,1.3355980882200829,0.0,0.06666666666666667
2229,completed,,1266|3242|2683|1679|1681,0.9791198968887329,0.176228781835893,0.1492537313432836,0.05691056910569106,5.815868174415823,0.0,0.06410256410256411
799,completed,,3875|1939|3483|2995|494,0.9705994129180908,1.179049953454677,0.03773584905660377,0.04213483146067416,1.5732934811145336,0.0,0.026881720430107527
2879,completed,,132|2091|3472|1524|1689,0.9772620797157288,2.4617934274488045,0.08,0.06329113924050632,8.116697886877475,0.0,0.11904761904761905
3546,completed,,3653|2268|295|804|355,0.9602559804916382,1.7179060012299232,0.0,0.04132231404958677,1.282321670701284,0.05714285714285715,0.056603773584905655
3085,completed,,2219|3104|1270|1260|655,0.9591318964958191,3.4089919964838553,0.09090909090909091,0.10869565217391303,8.116697886877475,0.0,0.09803921568627452
2636,completed,,1065|1454|3599|2270|3520,0.9598029851913452,4.160785677880903,0.20689655172413793,0.1922273781902552,3.0890553181566975,0.0,0.06578947368421054
2623,completed,,9|2361|1831|1747|2893,0.9807328581809998,1.62293446078038,0.08,0.06779661016949151,1.8160849415439309,0.0,0.07575757575757576
3766,completed,,653|1809|3426|2341|299,0.9768288135528564,1.0533847801294072,0.0923076923076923,0.0662251655629139,1.8160849415439309,0.0,0.07575757575757576
3156,completed,,682|2365|2178|2542|510,0.9687058925628662,0.580125585799887,0.14634146341463417,0.15421195652173914,1.8110800993753928,0.0,0.03787878787878788
